2019-04-02 14:30:20.228 | main | INFO  | org.springframework.boot.test.context.SpringBootTestContextBootstrapper |  |  |  |  | Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-04-02 14:30:20.247 | main | INFO  | org.springframework.boot.test.context.SpringBootTestContextBootstrapper |  |  |  |  | Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@7dc0f706, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4009e306, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@43c1b556, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@587e5365, org.springframework.test.context.support.DirtiesContextTestExecutionListener@22fcf7ab, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2de23121, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@63475ace, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4988d8b8, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@c0c2f8d, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@305b7c14, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6913c1fb, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@66d18979]
2019-04-02 14:30:20.250 | main | DEBUG | org.springframework.test.annotation.ProfileValueUtils |  |  |  |  | Retrieved @ProfileValueSourceConfiguration [null] for test class [com.czy.frame.MybatisApplicationTests]
2019-04-02 14:30:20.251 | main | DEBUG | org.springframework.test.annotation.ProfileValueUtils |  |  |  |  | Retrieved ProfileValueSource type [class org.springframework.test.annotation.SystemProfileValueSource] for class [com.czy.frame.MybatisApplicationTests]
2019-04-02 14:30:20.263 | main | DEBUG | org.springframework.test.annotation.ProfileValueUtils |  |  |  |  | Retrieved @ProfileValueSourceConfiguration [null] for test class [com.czy.frame.MybatisApplicationTests]
2019-04-02 14:30:20.263 | main | DEBUG | org.springframework.test.annotation.ProfileValueUtils |  |  |  |  | Retrieved ProfileValueSource type [class org.springframework.test.annotation.SystemProfileValueSource] for class [com.czy.frame.MybatisApplicationTests]
2019-04-02 14:30:20.265 | main | DEBUG | org.springframework.test.annotation.ProfileValueUtils |  |  |  |  | Retrieved @ProfileValueSourceConfiguration [null] for test class [com.czy.frame.MybatisApplicationTests]
2019-04-02 14:30:20.265 | main | DEBUG | org.springframework.test.annotation.ProfileValueUtils |  |  |  |  | Retrieved ProfileValueSource type [class org.springframework.test.annotation.SystemProfileValueSource] for class [com.czy.frame.MybatisApplicationTests]
2019-04-02 14:30:20.266 | main | DEBUG | org.springframework.test.annotation.ProfileValueUtils |  |  |  |  | Retrieved @ProfileValueSourceConfiguration [null] for test class [com.czy.frame.MybatisApplicationTests]
2019-04-02 14:30:20.266 | main | DEBUG | org.springframework.test.annotation.ProfileValueUtils |  |  |  |  | Retrieved ProfileValueSource type [class org.springframework.test.annotation.SystemProfileValueSource] for class [com.czy.frame.MybatisApplicationTests]
